Designator,Footprint,Quantity,Value,LCSC Part #
"C201, C307, C308, C309",0603,4,10uf,GRM188R6YA106MA73D
"C202, C204, C207, C301, C305, C306, C310, C311, C312",0603,9,100nf,CL10B104KB8NNNC
"C203, C206",0603,2,22uf,CL10A226MP8NUNE
"C205, C302, C303, C304",0603,4,1uf,C0603C105K4RACTU
D201,0603,1,RED,LTST-C191KRKT
D202,D_SOD-323,1,1N5819WS,1N5819WS
D301,D_SMA,1,SMAJ24A,SMAJ24A
J201,CONN_5040500891_MOL,1,5040500891,5040500891
J203,UJ20-C-H-G-SMT-1-P16-TR,1,USB_C_Receptacle_USB2.0_16P,UJ20-C-H-G-SMT-1-P16-TR
L301,SRR1208,1,SRR1208-120ML,SRR1208-120ML
"P301, P302",436500200 2-pin,2,436500200,436500200
Q302,TO-126-3_Vertical,1,BD139,BD139
"R201, R203, R204, R205, R308",0603,5,10k,ERA-3AEB103V
"R202, R302",0603,2,1.33k,ERA-3AEB1331V
"R206, R207, R303, R311",0402,4,5.1k,RT0402BRD075K1L
R301,0805,1,100m,RCWE0805R100FKEA
"R304, R305",0603,2,500,ERA-3AEB4990V
R306,2512,1,5.1,CRM2512-FX-5R10ELF
R307,0603,1,100k,ERA-3AEB104V
R309,0603,1,162k,CRCW0603162KFKEA
R310,0603,1,22.6k,ERA-3AEB2262V
"SW201, SW202",430471035826,2,SW_MEC_5E,SW_MEC_5E
U201,SOT-223-3_TabPin2,1,AMS1117-3.3,AMS1117-3.3
U202,ESP32-S3-WROOM-1,1,ESP32-S3-WROOM-1-N8R8,ESP32-S3-WROOM-1-N8R8
U203,SOT-23-6,1,USBLC6-2SC6,USBLC6-2SC6
U301,TSSOP-10_3x3mm_P0.5mm,1,DAC60501ZDGSR,DAC60501ZDGSR
U302,SOT-23-6,1,INA181A2IDBVR,INA181A2IDBVR
U304,SOT-23-6,1,LMR51420XFDDCR,LMR51420XFDDCR
U305,SOIC-8_3.9x4.9mm_P1.27mm,1,LM358,LM358BAIDR
